satisfaction_result,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Online Booking,Gate location,Food and drink,Online Check-in,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes
neutral or dissatisfied,Female,Frequent Flyer,40,Business travel,Business,1651,3,1,1,1,3,2,2,3,3,3,3,1,3,2,0
neutral or dissatisfied,Male,Infrequent Flyer,22,Business travel,Eco,403,3,5,3,1,2,3,3,2,1,1,5,1,1,2,0
neutral or dissatisfied,Female,Infrequent Flyer,40,Business travel,Business,212,3,3,3,3,5,3,4,5,1,2,3,2,2,5,29
neutral or dissatisfied,Male,Frequent Flyer,17,Personal Travel,Eco,1089,3,5,3,4,2,3,2,2,3,2,1,3,4,2,0
neutral or dissatisfied,Female,Frequent Flyer,14,Personal Travel,Business,315,3,4,3,3,5,3,1,5,3,5,4,5,4,5,11
neutral or dissatisfied,Female,Frequent Flyer,61,Business travel,Eco,332,3,1,1,1,4,3,3,3,3,3,3,3,3,2,0
neutral or dissatisfied,Male,Frequent Flyer,28,Personal Travel,Eco,965,3,2,4,1,1,4,1,1,1,3,1,3,1,1,0
neutral or dissatisfied,Female,Frequent Flyer,26,Business travel,Eco,546,1,5,5,5,1,1,1,1,2,3,3,4,3,1,17
neutral or dissatisfied,Male,Frequent Flyer,36,Business travel,Eco,190,5,5,5,5,5,4,5,5,2,5,3,3,4,5,11
neutral or dissatisfied,Female,Frequent Flyer,69,Personal Travel,Eco,909,2,3,2,4,5,3,3,5,5,2,5,4,5,4,15
neutral or dissatisfied,Male,Frequent Flyer,37,Personal Travel,Eco,1073,3,4,4,4,2,4,2,2,3,4,5,3,5,2,0
neutral or dissatisfied,Male,Frequent Flyer,16,Business travel,Eco Plus,371,3,1,1,1,3,3,1,3,4,1,3,4,4,3,12
neutral or dissatisfied,Male,Frequent Flyer,49,Personal Travel,Eco,2133,1,3,0,3,3,0,2,3,2,3,3,4,4,3,0
neutral or dissatisfied,Male,Infrequent Flyer,23,Business travel,Eco,184,2,2,2,2,3,2,3,3,2,3,1,4,2,3,28
neutral or dissatisfied,Male,Frequent Flyer,9,Personal Travel,Eco,1342,4,5,4,5,2,4,2,2,3,3,3,3,5,2,8
neutral or dissatisfied,Male,Frequent Flyer,45,Business travel,Business,1744,1,3,3,3,3,3,2,3,3,3,1,3,3,2,0
neutral or dissatisfied,Male,Infrequent Flyer,18,Business travel,Eco,577,4,3,4,4,5,4,5,5,4,5,4,3,3,5,13
neutral or dissatisfied,Male,Infrequent Flyer,59,Business travel,Eco,1052,2,2,2,4,2,2,2,1,5,4,3,2,4,2,0
neutral or dissatisfied,Male,Frequent Flyer,34,Personal Travel,Eco,199,3,2,3,3,3,3,3,3,2,4,4,3,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,57,Business travel,Business,2760,3,4,4,4,2,3,3,1,4,4,3,3,1,3,0
neutral or dissatisfied,Male,Frequent Flyer,27,Business travel,Eco,733,2,2,2,2,2,2,2,2,3,4,4,4,3,2,23
neutral or dissatisfied,Female,Frequent Flyer,59,Personal Travel,Eco,944,2,4,3,2,5,5,4,4,4,3,4,2,4,1,3
neutral or dissatisfied,Female,Infrequent Flyer,20,Business travel,Eco,733,2,2,2,5,5,2,4,5,3,2,4,3,4,5,39
neutral or dissatisfied,Female,Frequent Flyer,45,Business travel,Business,2465,2,5,5,5,1,2,1,4,4,4,2,1,4,1,5
neutral or dissatisfied,Female,Frequent Flyer,65,Personal Travel,Eco,1635,1,5,1,3,3,5,5,3,3,1,3,4,3,4,1
neutral or dissatisfied,Male,Frequent Flyer,23,Personal Travel,Business,436,1,5,1,4,1,1,1,1,3,3,4,5,5,1,0
neutral or dissatisfied,Female,Frequent Flyer,29,Business travel,Eco Plus,802,4,3,2,2,4,3,4,4,4,3,3,1,4,4,0
